	   208.96 5  	      0.180 % 13 	  3.8E-4 3 
	   210.66 19  	      0.0013 % 7 	  2.8E-6 15 
	   242.2 1  	      1.5E-6 % 8 	  3.7E-9 19 
	   250.62 5  	      0.38 % 3 	  9.6E-4 7 
	   270.37 6  	      0.0046 % 4 	  1.25E-5 12 
	   278.43 5  	      0.57 % 4 	  0.00158 11 
	   281.26 5  	      0.165 % 12 	  4.6E-4 3 
	   281.38 20  	      8E-5 % 8 	  2.2E-7 22 
	   281.7 1  	      0.0015 % 3 	  4.3E-6 9 
	   342.54 5  	      0.0085 % 9 	  2.9E-5 3 
	   342.88 5  	      0.049 % 3 	  1.69E-4 11 
	   382.08 14  	      6.2E-4 % 23 	  2.4E-6 9 
	   415.88 14  	      6.2E-4 % 23 	  2.6E-6 10 
	   459.60 5  	      7.7 % 6 	  0.035 3 
	   462.04 20  	      1.2E-4 % 12 	  5E-7 5 
	   487.39 5  	      1.42 % 10 	  0.0069 5 
	   491.93 14  	      0.00116 % 24 	  5.7E-6 12 
	   531.83 5  	      0.088 % 6 	  4.7E-4 3 
	   551.50 5  	      0.0035 % 4 	  1.95E-5 25 
	   551.98 5  	      0.00139 % 25 	  7.7E-6 14 
	   560.05 6  	      0.0061 % 6 	  3.4E-5 3 
	   624.34 5  	      0.097 % 7 	  6.1E-4 4 
	   701.10 16  	      0.0013 % 3 	  9.2E-6 22 
	   701.76 5  	      4.6E-5 % 8 	  3.2E-7 6 
	   722.5 2  	      1.2E-4 % 12 	  8E-7 8 
	   729.57 5  	      0.0012 % 3 	  9.0E-6 23 
	   732.62 16  	      0.00131 % 25 	  9.6E-6 18 
	   740.96 5  	      0.037 % 3 	  2.77E-4 20 
	   768.77 5  	      0.0042 % 5 	  3.3E-5 4 
	   769.01 5  	      7.2E-4 % 8 	  5.5E-6 6 
	   773.54 17  	      2.3E-4 % 15 	  1.8E-6 12 
	   802.10 5  	      0.192 % 14 	  0.00154 11 
	   804.60 13  	      0.022 % 3 	  1.73E-4 22 
	   817.0 2  	      3E-5 % 3 	  3E-7 3 
	   829.93 5  	      0.0064 % 5 	  5.3E-5 4 
	   833.28 5  	      0.045 % 3 	  3.8E-4 3 
	   918.29 15  	      6.2E-4 % 16 	  5.7E-6 15 
	   931.57 25  	      2.1E-4 % 9 	  1.9E-6 9 
	   982.27 5  	      0.0160 % 12 	  1.57E-4 12 
	  1013.57 8  	      0.0013 % 3 	  1.3E-5 3 
	  1019.43 6  	      0.0022 % 6 	  2.3E-5 6 
	  1022.43 5  	      6.9E-4 % 9 	  7.1E-6 9 
	  1050.21 5  	      6.9E-4 % 9 	  7.3E-6 9 
	  1083.85 5  	      0.49 % 4 	  0.0053 4 
	  1111.64 5  	      0.191 % 15 	  0.00212 16 
	  1168.8 2  	      2.3E-5 % 23 	  3E-7 3 
	  1181.96 11  	      1.2E-4 % 5 	  1.4E-6 6 
	  1232.82 5  	      0.0075 % 6 	  9.2E-5 7 
	  1260.63 5  	      0.0112 % 9 	  1.41E-4 11 
	  1264.16 5  	      0.0082 % 6 	  1.03E-4 8 
	  1291.50 13  	      2.8E-4 % 4 	  3.6E-6 5 
